id,eg,election,total_districts,epsilon,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,D_seats,hash
72470,-0.041192563,PRES16,34,0.05,0.17902502,0.183447135,0.18543422,0.194179033,0.198797819,0.224944774,0.22804473,0.238921699,0.244451336,0.250084139,0.253826009,0.254986649,0.271792022,0.279543184,0.297947274,0.310504212,0.314002936,0.322774248,0.355183496,0.402253129,0.405296808,0.42496042,0.459347582,0.459605503,0.483554615,0.504593128,0.508476202,0.568871906,0.672240904,0.697310735,0.760597816,0.762344647,0.811749961,0.925312291,9,72470
20386,-0.073883703,PRES16,34,0.05,0.183794275,0.186035497,0.198012983,0.208865536,0.216239454,0.224536088,0.227813659,0.23118327,0.236370611,0.236375667,0.249080222,0.280270116,0.292775061,0.296588833,0.302858175,0.302927559,0.325091309,0.329073708,0.330376966,0.334738905,0.403691713,0.420380775,0.437722524,0.466353196,0.479443764,0.483721207,0.522250263,0.591386555,0.623408442,0.661225385,0.770514585,0.797221844,0.868293496,0.94846657,8,20386
6389,-0.009928893,PRES16,34,0.05,0.176848442,0.202318022,0.204226551,0.213737783,0.214682965,0.21795981,0.226416043,0.23231574,0.244181625,0.251356454,0.254872401,0.255929917,0.262050881,0.262394276,0.289705037,0.296663267,0.326450503,0.346514127,0.370192016,0.376718431,0.383470861,0.402050194,0.431777694,0.498911273,0.513332035,0.538907458,0.542088888,0.550861656,0.645137661,0.679731897,0.709080208,0.838625184,0.844464039,0.88126218,10,6389
171910,-0.14619629,USSEN16,34,0.05,0.274307518,0.283759176,0.299164197,0.300290835,0.306709552,0.323623866,0.328853322,0.332029789,0.348364495,0.364741605,0.381622443,0.398822449,0.402843533,0.410876513,0.415132779,0.431677667,0.433891865,0.434766395,0.466460853,0.468530341,0.468945031,0.495397739,0.49979429,0.531168988,0.554977381,0.560427683,0.621623815,0.662459503,0.727966458,0.731797996,0.752119728,0.779239584,0.832297746,0.866409866,11,171910
105548,-0.117250951,USSEN16,34,0.05,0.267637133,0.269556898,0.282760801,0.288116799,0.325286892,0.332995312,0.336397384,0.355199833,0.357298678,0.360767164,0.371355129,0.3842481,0.401303091,0.414354922,0.417683103,0.428281166,0.431556866,0.438822776,0.462814682,0.47477262,0.495402766,0.49777334,0.510535649,0.517865442,0.558751799,0.559320275,0.56965873,0.682545465,0.691668299,0.745769082,0.745957784,0.778438996,0.833533962,0.928718431,12,105548
180639,-0.070859785,USSEN16,34,0.05,0.271034576,0.273214339,0.29399508,0.308720467,0.309645331,0.341905396,0.349996068,0.351173759,0.357784537,0.357908641,0.372053956,0.379763295,0.403565664,0.410767087,0.412844127,0.412878263,0.41864137,0.418877767,0.46932318,0.494139017,0.499039127,0.50735095,0.51667357,0.530410742,0.537876956,0.539466694,0.557919594,0.632286435,0.636464169,0.683390741,0.824344821,0.841590329,0.856600251,0.938618501,13,180639
155152,-0.120531726,USSEN16,34,0.05,0.268177882,0.288608412,0.295904026,0.300355179,0.303482777,0.311702861,0.316065307,0.336869426,0.346408731,0.365790712,0.383255152,0.392371632,0.393341459,0.405722356,0.416098427,0.447104536,0.45153435,0.458845443,0.460042066,0.46496781,0.482644013,0.49190431,0.529769471,0.564850606,0.567348436,0.583148854,0.583722565,0.606542038,0.696423054,0.713658906,0.751326669,0.80446007,0.845318779,0.922315016,12,155152
140357,-0.07821465,USSEN16,34,0.05,0.268597648,0.270826684,0.288081728,0.297068681,0.321711525,0.335915985,0.343114247,0.345966891,0.354329154,0.361380712,0.37470693,0.386524136,0.398053618,0.398625128,0.40187127,0.425861909,0.453448515,0.455971822,0.47025049,0.4728509,0.479919036,0.52306111,0.52417553,0.526719471,0.528288767,0.542633187,0.553800438,0.66856402,0.695988485,0.707313521,0.781599259,0.781612719,0.800628624,0.930171056,13,140357
177097,-0.084187095,USSEN16,34,0.05,0.27402538,0.278436708,0.285104514,0.313133989,0.335691429,0.335988681,0.336066933,0.343524439,0.357026857,0.359133296,0.369734987,0.377584275,0.394152441,0.404800941,0.414720225,0.418407764,0.431384693,0.452647071,0.456441445,0.460938108,0.473766692,0.518620169,0.520623857,0.521692906,0.52761538,0.530635756,0.556153609,0.637273018,0.707456815,0.752361204,0.787706139,0.814064858,0.820401436,0.923212076,13,177097
12263,-0.077440562,PRES16,34,0.05,0.182903948,0.189086463,0.208856808,0.213332948,0.213908424,0.215099197,0.217372761,0.219184057,0.232562225,0.241786124,0.249317459,0.259747302,0.300138972,0.301936836,0.302500941,0.302665113,0.332489071,0.333862038,0.376915065,0.384552656,0.390333953,0.407025113,0.413236974,0.42863761,0.470304346,0.4866361,0.503636388,0.632764488,0.647016029,0.690837363,0.706169173,0.837073332,0.84969923,0.947005538,8,12263
